
2020-01-04 12:55:57 INFO  VideoFileOrganizerApp:25 - Photo organizer is not enabled.
2020-01-04 13:04:06 INFO  VideoOrganizer:93 - Finished processing file = /root/Videos/VID_20180920_035131.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:94 - Leaving VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:57 - Inside VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:61 - Processing file = /root/Videos/VID_20190609_031011.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:70 - Date Time detected for file /root/Videos/VID_20190609_031011.mp4 = null
2020-01-04 13:04:06 INFO  VideoOrganizer:78 - Original Year - Month - Day : 0000 - 00 - 00 for file /root/Videos/VID_20190609_031011.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:93 - Finished processing file = /root/Videos/VID_20190609_031011.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:94 - Leaving VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:57 - Inside VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:61 - Processing file = /root/Videos/VID_20190730_182215.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:70 - Date Time detected for file /root/Videos/VID_20190730_182215.mp4 = null
2020-01-04 13:04:06 INFO  VideoOrganizer:78 - Original Year - Month - Day : 0000 - 00 - 00 for file /root/Videos/VID_20190730_182215.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:93 - Finished processing file = /root/Videos/VID_20190730_182215.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:94 - Leaving VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:57 - Inside VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:61 - Processing file = /root/Videos/VID_20180907_120300.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:70 - Date Time detected for file /root/Videos/VID_20180907_120300.mp4 = null
2020-01-04 13:04:06 INFO  VideoOrganizer:78 - Original Year - Month - Day : 0000 - 00 - 00 for file /root/Videos/VID_20180907_120300.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:93 - Finished processing file = /root/Videos/VID_20180907_120300.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:94 - Leaving VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:57 - Inside VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:61 - Processing file = /root/Videos/VID_20190730_181208.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:70 - Date Time detected for file /root/Videos/VID_20190730_181208.mp4 = null
2020-01-04 13:04:06 INFO  VideoOrganizer:78 - Original Year - Month - Day : 0000 - 00 - 00 for file /root/Videos/VID_20190730_181208.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:93 - Finished processing file = /root/Videos/VID_20190730_181208.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:94 - Leaving VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:57 - Inside VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:61 - Processing file = /root/Videos/VID_20190730_183522.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:70 - Date Time detected for file /root/Videos/VID_20190730_183522.mp4 = null
2020-01-04 13:04:06 INFO  VideoOrganizer:78 - Original Year - Month - Day : 0000 - 00 - 00 for file /root/Videos/VID_20190730_183522.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:93 - Finished processing file = /root/Videos/VID_20190730_183522.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:94 - Leaving VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:57 - Inside VideoOrganizer.process
2020-01-04 13:04:06 INFO  VideoOrganizer:61 - Processing file = /root/Videos/VID_20180908_112607.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:70 - Date Time detected for file /root/Videos/VID_20180908_112607.mp4 = null
2020-01-04 13:04:06 INFO  VideoOrganizer:78 - Original Year - Month - Day : 0000 - 00 - 00 for file /root/Videos/VID_20180908_112607.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:93 - Finished processing file = /root/Videos/VID_20180908_112607.mp4
2020-01-04 13:04:06 INFO  VideoOrganizer:94 - Leaving VideoOrganizer.process
2020-01-04 13:04:25 INFO  VideoFileOrganizerApp:41 - Collecting input for video organizer
